time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
45	-1e-05	-1e-05	-2e-05	4e-05	-1e-05	-1e-05	0	-1e-05	0
47	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	0
48	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	5
49	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	0
50	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	0
51	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	0
52	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	0
53	0	-2e-05	-3e-05	4e-05	-2e-05	-1e-05	-2e-05	0	0
54	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
55	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
56	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
57	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
58	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
59	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
60	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
61	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
62	-1e-05	3e-05	2e-05	4e-05	-1e-05	-1e-05	1e-05	0	0
63	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
64	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
65	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	8
66	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
67	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
68	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
69	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
70	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
71	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
72	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
73	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
74	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
75	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
76	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
77	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
78	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
79	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
80	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	6
81	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
82	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
83	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
84	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
85	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
86	-1e-05	-8e-05	-8e-05	-7e-05	-3e-05	-2e-05	2e-05	-2e-05	0
89	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
90	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
91	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
92	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
93	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
94	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
95	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
96	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
97	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
98	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
99	-2e-05	0	0	-5e-05	0	0	-1e-05	-1e-05	0
100	-1e-05	3e-05	4e-05	2e-05	0	-3e-05	-1e-05	0	0
101	-1e-05	-3e-05	-4e-05	-1e-05	-2e-05	0	0	-1e-05	0
102	-1e-05	-3e-05	-4e-05	-1e-05	-2e-05	0	0	-1e-05	0
103	-1e-05	-3e-05	-4e-05	-1e-05	-2e-05	0	0	-1e-05	0
104	-1e-05	-3e-05	-4e-05	-1e-05	-2e-05	0	0	-1e-05	0
105	-1e-05	-3e-05	-4e-05	-1e-05	-2e-05	0	0	-1e-05	0
106	0	0	2e-05	-2e-05	-1e-05	0	-1e-05	0	0
107	0	0	2e-05	-2e-05	-1e-05	0	-1e-05	0	0
108	0	0	2e-05	-2e-05	-1e-05	0	-1e-05	0	0
109	0	0	2e-05	-2e-05	-1e-05	0	-1e-05	0	0
110	0	0	2e-05	-2e-05	-1e-05	0	-1e-05	0	0
111	0	0	2e-05	-2e-05	-1e-05	0	-1e-05	0	0
